codigo,nome,descricao,compatibilidade,marca,categoriaSistema,fornecedor
185343,"RODA PHOENIX GOLD 50 DIANT.","RODA PHOENIX GOLD 50 DIANT.","RODA PHOENIX GOLD 50 DIANT.",IRON,"Rodas e Pneus",MOTOCICLO
185335,"RODA PHOENIX GOLD 50 TRAS.","RODA PHOENIX GOLD 50 TRAS.","RODA PHOENIX GOLD 50 TRAS.",IRON,"Rodas e Pneus",MOTOCICLO
185340,"RODA CG 150 ESD 14 MOD 5 PALITOS PRETA","RODA CG 150 ESD 14 MOD 5 PALITOS PRETA","RODA CG 150 ESD 14 MOD 5 PALITOS PRETA",IRON,"Rodas e Pneus",MOTOCICLO
185337,"RODA BIZ 125/110I TAMBOR MOD PE DE GALINHA PRETA","RODA BIZ 125/110I TAMBOR MOD PE DE GALINHA PRETA","RODA BIZ 125/110I TAMBOR MOD PE DE GALINHA PRETA",IRON,"Rodas e Pneus",MOTOCICLO
121904,"RODA YBR 125 09 KS MOD 6 PALITOS PRETO","RODA YBR 125 09 KS MOD 6 PALITOS PRETO","RODA YBR 125 09 KS MOD 6 PALITOS PRETO",IRON,"Rodas e Pneus",MOTOCICLO
185331,"RODA CG 150 04/13 ESD MOD 160 PRETA","RODA CG 150 04/13 ESD MOD 160 PRETA","RODA CG 150 04/13 ESD MOD 160 PRETA",IRON,"Rodas e Pneus",MOTOCICLO
185334,"RODA NXR 160 ESD FREIO DISCO","RODA NXR 160 ESD FREIO DISCO","RODA NXR 160 ESD FREIO DISCO",IRON,"Rodas e Pneus",MOTOCICLO
185339,"RODA YBR 125 09/ED 6 PALITOS PRETO","RODA YBR 125 09/ED 6 PALITOS PRETO","RODA YBR 125 09/ED 6 PALITOS PRETO",IRON,"Rodas e Pneus",MOTOCICLO
196351,"RODA CG 150 KS/ES 04/13 6 PALITOS PRETA PAR","RODA CG 150 KS/ES 04/13 6 PALITOS PRETA PAR","RODA CG 150 KS/ES 04/13 6 PALITOS PRETA PAR",IRON,"Rodas e Pneus",MOTOCICLO
196315,"120960 CÂMARA DIANT. BIZ / POP / DREAM - 60/100/17 197025 AR","120960 CÂMARA DIANT. BIZ / POP / DREAM - 60/100/17 197025 ARO RODA DIANT. BIZ 100/125 / POP 100/110I 140/17","120960 CÂMARA DIANT. BIZ / POP / DREAM - 60/100/17 197025 ARO RODA DIANT. BIZ 100/125 / POP 100/110I 140/17",IRON,"Rodas e Pneus",MOTOCICLO
122183,"121502 CÂMARA DIANT. NXR 125/150 / CB 400/450 - 90/90/19","121502 CÂMARA DIANT. NXR 125/150 / CB 400/450 - 90/90/19","121502 CÂMARA DIANT. NXR 125/150 / CB 400/450 - 90/90/19",IRON,"Rodas e Pneus",MOTOCICLO
121900,"197024 ARO RODA TRAS. BIZ 100/125 / POP 100/110I 160/14","197024 ARO RODA TRAS. BIZ 100/125 / POP 100/110I 160/14","197024 ARO RODA TRAS. BIZ 100/125 / POP 100/110I 160/14",IRON,"Rodas e Pneus",MOTOCICLO
185151,"121519 CÂMARA DIANT. XL / XR / NX 200/250/350/400 - 300/21","121519 CÂMARA DIANT. XL / XR / NX 200/250/350/400 - 300/21","121519 CÂMARA DIANT. XL / XR / NX 200/250/350/400 - 300/21",IRON,"Rodas e Pneus",MOTOCICLO
185149,"015506 ARO RODA DIANT. CG 125/150/160 160/18","015506 ARO RODA DIANT. CG 125/150/160 160/18","015506 ARO RODA DIANT. CG 125/150/160 160/18",IRON,"Rodas e Pneus",MOTOCICLO
196318,"121518 CÂMARA DIANT. / TRAS. CG 125/150 - 300/18","121518 CÂMARA DIANT. / TRAS. CG 125/150 - 300/18","121518 CÂMARA DIANT. / TRAS. CG 125/150 - 300/18",IRON,"Rodas e Pneus",MOTOCICLO
185147,"197026 ARO RODA TRAS. CG 125/150/160 185/18","197026 ARO RODA TRAS. CG 125/150/160 185/18","197026 ARO RODA TRAS. CG 125/150/160 185/18",IRON,"Rodas e Pneus",MOTOCICLO
121394,"026045 CÂMARA TRAS. BIZ / POP - 110/80/14 121515 CÂMARA TRAS","026045 CÂMARA TRAS. BIZ / POP - 110/80/14 121515 CÂMARA TRAS. BIZ / POP - 80/100/14","026045 CÂMARA TRAS. BIZ / POP - 110/80/14 121515 CÂMARA TRAS. BIZ / POP - 80/100/14",IRON,"Rodas e Pneus",MOTOCICLO
6394,"197027 ARO RODA DIANT. NXR 125/150/160 / XRE 190 185/19","197027 ARO RODA DIANT. NXR 125/150/160 / XRE 190 185/19","197027 ARO RODA DIANT. NXR 125/150/160 / XRE 190 185/19",IRON,"Rodas e Pneus",MOTOCICLO
4295,"121516 CÂMARA TRAS. CBX/NX/XR 200/250 - 410/18","121516 CÂMARA TRAS. CBX/NX/XR 200/250 - 410/18","121516 CÂMARA TRAS. CBX/NX/XR 200/250 - 410/18",IRON,"Rodas e Pneus",MOTOCICLO
184409,"197028 ARO RODA TRAS. NXR 125/150/160 / XRE 190 215/17","197028 ARO RODA TRAS. NXR 125/150/160 / XRE 190 215/17","197028 ARO RODA TRAS. NXR 125/150/160 / XRE 190 215/17",IRON,"Rodas e Pneus",MOTOCICLO
123215,"120961 CÂMARA TRAS. DREAM/CRYPTON 100 - 275/17","120961 CÂMARA TRAS. DREAM/CRYPTON 100 - 275/17","120961 CÂMARA TRAS. DREAM/CRYPTON 100 - 275/17",IRON,"Rodas e Pneus",MOTOCICLO
196321,"202153 ARO RODA DIANT. XLR 125/250/NX 150/200/400 160/21","202153 ARO RODA DIANT. XLR 125/250/NX 150/200/400 160/21","202153 ARO RODA DIANT. XLR 125/250/NX 150/200/400 160/21",IRON,"Rodas e Pneus",MOTOCICLO
184415,"23244 CÂMARA TRAS. NXR/XLX/NX 150/250/350/400 - 110/90/17","23244 CÂMARA TRAS. NXR/XLX/NX 150/250/350/400 - 110/90/17","23244 CÂMARA TRAS. NXR/XLX/NX 150/250/350/400 - 110/90/17",IRON,"Rodas e Pneus",MOTOCICLO
196348,"202155 ARO RODA TRAS. XLR 125/NX 150/200 215/18","202155 ARO RODA TRAS. XLR 125/NX 150/200 215/18","202155 ARO RODA TRAS. XLR 125/NX 150/200 215/18",IRON,"Rodas e Pneus",MOTOCICLO
